mid,genre_id
862,16
862,12
862,10751
862,35
8844,12
8844,14
8844,10751
15602,10749
15602,35
31357,35
31357,18
31357,10749
11862,35
949,28
949,80
949,18
949,53
11860,35
11860,10749
45325,28
45325,12
45325,18
45325,10751
9091,28
9091,12
9091,53
9091,18
710,12
710,28
710,53
9087,35
9087,18
9087,10749
12110,35
12110,27
12110,14
21032,16
21032,12
21032,10751
10858,36
10858,18
1408,28
1408,12
524,80
524,18
4584,18
4584,10749
5,80
5,35
9273,80
9273,35
9273,12
11517,28
11517,35
11517,80
8012,35
8012,53
8012,80
1710,53
1710,80
9691,28
9691,12
9691,80
9691,53
12665,18
12665,14
12665,878
12665,53
451,18
451,10749
16420,18
9263,18
9263,10751
17015,18
17015,10749
902,14
902,878
902,12
37557,18
37557,80
9909,18
63,878
63,53
63,9648
9598,14
9598,18
9598,35
9598,10751
687,18
33689,35
33689,10751
33689,10749
9603,35
9603,10749
34615,18
31174,18
31174,10752
11443,28
11443,18
11443,80
35196,18
35196,10749
9312,28
9312,14
577,18
577,35
577,80
11861,18
11861,10749
807,80
807,9648
807,53
10530,12
10530,16
10530,10751
10530,10749
8391,18
8391,10749
629,18
629,80
629,53
11448,35
11448,10749
49133,18
26441,28
26441,12
26441,35
26441,10751
97406,18
9089,35
9089,18
9089,10749
11010,35
11010,18
11010,10749
11359,12
11359,10751
11359,14
17182,53
17182,80
2054,18
2054,10402
2054,10751
10607,35
19760,35
19760,10749
9536,35
11525,878
4482,35
4482,10749
10634,35
755,27
755,28
755,53
755,80
11859,28
11859,53
11859,10749
28387,35
28387,18
28387,10749
48750,18
48750,36
20927,18
20927,10749
36929,35
9102,27
9102,878
124626,99
27526,18
27526,53
9623,53
46785,18
400,18
400,80
880,18
880,35
146599,10749
146599,18
8447,18
8447,10749
10534,28
10534,18
10534,12
17414,10751
17414,35
17414,12
13997,35
2086,53
2086,80
2086,28
9095,18
9095,27
9095,53
9095,36
12158,35
12158,27
12158,10749
9283,35
9283,18
9283,10749
9208,28
40154,35
406,18
63076,99
11062,18
11062,53
13685,35
13685,80
13685,18
47475,35
47475,10749
2045,18
2045,9648
2045,878
2045,53
9614,35
688,18
688,10749
11907,18
11907,35
11907,10751
10874,28
10874,35
10874,10402
10874,10751
10874,12
10874,10749
89333,99
197,28
197,18
197,36
197,10752
103,80
103,18
33542,80
33542,28
33542,35
33542,53
43566,18
43566,53
43566,9648
51352,99
51352,18
16934,35
16934,80
16934,18
10324,35
10324,10749
78406,35
78406,18
32119,18
11066,35
11066,10749
11104,18
11104,35
11104,10749
2074,35
27793,14
27793,10751
290157,99
290157,9648
110972,35
110972,10749
11863,53
11863,9648
9101,35
5757,35
9302,18
9302,10749
11000,35
16388,35
16388,18
16388,10749
9737,28
9737,35
9737,80
9737,53
30765,12
30765,18
30765,10751
10474,18
10474,80
22279,10749
22279,18
22279,35
30157,80
30157,35
30157,18
30157,53
568,18
568,36
11780,12
11780,36
11780,10752
11780,18
34996,18
34996,27
414,28
414,80
414,14
649,18
649,10749
1873,18
1873,53
5894,35
1775,35
8839,14
8839,35
8839,10751
20649,9648
20649,80
20649,18
10329,28
10329,12
10329,878
8963,10752
8963,53
8963,28
8963,18
26564,99
8068,53
8068,28
8068,80
8512,80
8512,53
8512,18
1572,28
1572,53
13552,28
13552,35
13552,80
13552,18
6520,28
6520,12
6520,18
6520,10749
9073,10751
9073,12
9073,18
10428,28
10428,80
10428,53
10428,18
17447,35
17447,18
17447,10749
9886,12
9886,28
9886,18
9886,878
9886,53
9482,878
19326,35
19326,18
9344,18
9344,80
9071,18
9071,35
8973,27
8973,14
15730,35
15730,18
47608,18
47608,10749
2293,10749
2293,35
9070,28
9070,12
9070,878
9070,10751
9070,14
48787,53
34574,27
34574,53
1642,80
1642,18
1642,9648
1642,53
1642,28
11472,10749
11472,35
36196,35
11980,27
11980,14
11980,53
58372,14
58372,35
58372,18
32646,18
10533,18
10533,10749
10802,18
10149,35
10149,18
18402,35
18402,18
9348,878
9348,27
9348,28
281,80
281,18
281,878
281,53
5967,18
5967,10749
47939,14
47939,10751
47939,18
36834,18
36834,10749
9090,35
3512,28
3512,53
52856,35
52856,18
52856,10751
77350,99
9560,18
9560,10749
9804,12
9804,28
9804,878
31611,18
65796,28
65796,37
49805,18
26258,12
26258,10751
50797,18
19155,18
19155,10752
76,18
76,10749
11017,35
37141,18
37141,53
9382,35
9382,18
6715,18
6715,10751
18256,53
18256,18
18256,27
18256,9648
22625,18
22625,10749
2292,35
1909,10749
1909,18
1909,35
8984,18
8984,80
8984,53
4954,28
62488,80
62488,35
62488,14
10531,18
10531,53
10531,9648
11929,80
11929,18
11929,9648
8467,35
10451,35
10451,18
10451,10749
20156,18
20156,9648
18395,35
18395,80
18395,53
522,35
522,18
522,36
397,35
397,10749
10525,35
10525,18
10525,10749
27985,28
27985,12
27985,18
27985,10751
15789,10749
15789,16
15789,10751
15789,35
15789,12
27303,18
27303,53
27303,27
21183,18
21183,12
21183,10751
10954,36
10954,18
47867,18
47867,10751
47867,14
14275,99
1024,18
1024,14
17207,35
17207,10751
13701,18
13701,10402
13701,10749
14819,35
14819,10751
14819,18
32631,28
32631,53
11777,35
11777,18
11777,10749
628,27
628,18
628,14
87729,18
87729,10749
87729,36
18713,35
18713,80
6280,35
6280,10751
6280,10749
9061,28
9061,18
9061,9648
9061,53
37108,12
37108,14
37108,35
37108,878
37108,10751
6071,28
6071,80
6071,18
6071,53
11,12
11,28
11,878
9587,18
9587,10749
19101,18
19101,10751
19101,14
49980,18
18183,18
18183,10749
4476,12
4476,18
4476,10749
4476,10752
4476,37
11008,12
11008,35
11008,10751
32325,80
32325,18
43742,18
43742,10749
28313,18
11318,35
11318,18
11318,36
3036,18
3036,27
3036,878
3036,10749
40490,28
40490,35
40490,10751
24070,35
24070,18
24070,10749
8986,35
8986,10749
10510,14
10510,18
10510,10751
17402,35
17402,10749
38722,35
38722,18
8438,80
8438,18
11593,18
11593,35
1945,18
1945,53
39310,80
39310,18
109560,28
109560,53
109560,80
109560,18
56428,27
131957,18
