user_id,animation,adventure,family,comedy,fantasy,romance,drama,action,crime,thriller,horror,history,science_fiction,mystery,war,music,documentary,western,tv_movie
1,4.3108808290155440,4.3636363636363636,4.7480314960629921,4.3260869565217391,4.3771428571428571,4.4277456647398844,4.5270270270270270,4.2850678733031674,4.4545454545454545,3.6000000000000000,4.7049180327868852,4.2295081967213115,4.1868131868131868,4.2067510548523207,4.1739130434782609,4.6250000000000000,4.5238095238095238,,
2,4.0487804878048780,3.9523809523809524,4.2068965517241379,3.4680851063829787,4.0000000000000000,3.5795454545454545,3.0000000000000000,4.0000000000000000,3.0000000000000000,3.6666666666666667,3.4358974358974359,4.0000000000000000,3.0000000000000000,,,,,,
3,3.0500000000000000,2.3200000000000000,0.00000000000000000000,1.1860465116279070,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,2.1304347826086957,0.00000000000000000000,4.4210526315789474,0.00000000000000000000,2.2352941176470588,0.00000000000000000000,3.6444444444444444,2.8333333333333333,0.00000000000000000000,,,
4,3.4128440366972477,3.6129032258064516,4.0000000000000000,3.4475374732334047,3.7055214723926380,4.2000000000000000,3.4455252918287938,3.5125000000000000,3.5681818181818182,3.4482758620689655,4.1052631578947368,3.8000000000000000,3.4024390243902439,3.4581673306772908,3.0000000000000000,3.6666666666666667,3.8888888888888889,3.6000000000000000,
5,3.0851063829787234,3.1785714285714286,4.3125000000000000,3.4833333333333333,3.7804878048780488,3.5968992248062016,4.1063829787234043,3.8421052631578947,3.8181818181818182,3.0000000000000000,3.4000000000000000,3.2878787878787879,2.5454545454545455,3.5555555555555556,3.3333333333333333,2.8181818181818182,,,
6,3.6698412698412698,3.8289473684210526,4.2096774193548387,3.4329159212880143,3.3507109004739336,3.6399394856278366,3.6835016835016835,3.5459183673469388,3.7435897435897436,3.1046511627906977,3.6666666666666667,3.6829268292682927,3.5993690851735016,3.4320000000000000,3.3529411764705882,3.0000000000000000,3.4893617021276596,3.9782608695652174,
7,3.0529595015576324,3.1328671328671329,3.1756756756756757,2.8558558558558559,3.1666666666666667,3.0743243243243243,2.9878048780487805,3.1052631578947368,2.7500000000000000,4.0454545454545455,3.5555555555555556,2.5753424657534247,2.1962616822429907,2.8873239436619718,2.9957805907172996,2.9791666666666667,1.00000000000000000000,,
8,3.0952380952380952,3.6285714285714286,5.0000000000000000,3.2280701754385965,3.9649122807017544,3.7481481481481481,3.6060606060606061,3.4888888888888889,3.7727272727272727,4.5000000000000000,3.8518518518518519,3.3484848484848485,3.2727272727272727,3.7368421052631579,4.0000000000000000,2.8181818181818182,,,
9,3.6521739130434783,3.6451612903225806,4.0000000000000000,3.8358208955223881,3.8723404255319149,3.4938271604938272,4.0000000000000000,5.0000000000000000,3.6000000000000000,1.8571428571428571,3.0000000000000000,4.3333333333333333,3.3076923076923077,3.4545454545454545,2.7555555555555556,3.2000000000000000,,,
10,3.3049645390070922,3.3187500000000000,3.6052631578947368,3.1103896103896104,2.7173913043478261,2.9373040752351097,3.3827160493827160,3.2688172043010753,3.8823529411764706,3.4444444444444444,1.8750000000000000,3.1379310344827586,0.70588235294117647059,3.2463768115942029,3.6250000000000000,,,,
